Steuerung;Kv Factor;Kugelgewindetrieb Durchmesser X;Kugelgewindetrieb Steigung X;Kugelgewindetrieb Durchmesser Y;Kugelgewindetrieb Steigung Y;Kugelgewindetrieb Durchmesser Z;Kugelgewindetrieb Steigung Z;Motor X;Motor Y;Motor Z;Steifigkeit X;Steifigkeit Y;Steifigkeit Z;Werkstück;Werkzeug;Durchmesser;vc;fz
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;40;165;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;50;155;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;63;160;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;80;160;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;100;165;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;125;160;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;40;175;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;50;170;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;63;165;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;80;175;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;100;165;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;125;175;0.14
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;40;285;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;50;280;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;63;290;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;80;275;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;100;280;0.15
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;125;285;0.16
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;40;90;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;50;95;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;63;85;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;80;85;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;100;90;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;125;90;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;40;140;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;50;140;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;63;135;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;80;145;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;100;150;0.12
